gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22401148,4/8/2025 19:00,Indiana,Pacers,1610612754,Washington,Wizards,1610612764,104,98,1610612754,Regular Season,16144,1000063,,,
22401149,4/8/2025 19:00,Orlando,Magic,1610612753,Atlanta,Hawks,1610612737,119,112,1610612753,Regular Season,18846,1000125,,,
22401145,4/7/2025 19:30,Miami,Heat,1610612748,Philadelphia,76ers,1610612755,117,105,1610612748,Regular Season,19700,1000100,,,
22401144,4/7/2025 19:00,Detroit,Pistons,1610612765,Sacramento,Kings,1610612758,117,127,1610612758,Regular Season,19208,624,,,
22401143,4/6/2025 20:30,Golden State,Warriors,1610612744,Houston,Rockets,1610612745,96,106,1610612745,Regular Season,18064,1000011,,,
22401142,4/6/2025 20:00,Denver,Nuggets,1610612743,Indiana,Pacers,1610612754,120,125,1610612754,Regular Season,19932,1000046,,,
22401140,4/6/2025 19:00,New York,Knicks,1610612752,Phoenix,Suns,1610612756,112,98,1610612752,Regular Season,19812,30,,,
22401136,4/6/2025 18:00,Atlanta,Hawks,1610612737,Utah,Jazz,1610612762,147,134,1610612737,Regular Season,16331,650,,,
22401137,4/6/2025 18:00,Boston,Celtics,1610612738,Washington,Wizards,1610612764,124,90,1610612738,Regular Season,19156,17,,,
22401138,4/6/2025 18:00,Cleveland,Cavaliers,1610612739,Sacramento,Kings,1610612758,113,120,1610612758,Regular Season,19432,1000144,,,
22401139,4/6/2025 18:00,Portland,Trail Blazers,1610612757,San Antonio,Spurs,1610612759,120,109,1610612757,Regular Season,17928,51,,,
22401134,4/6/2025 15:30,Brooklyn,Nets,1610612751,Toronto,Raptors,1610612761,109,120,1610612761,Regular Season,17007,461,,,
22401135,4/6/2025 15:30,Oklahoma City,Thunder,1610612760,Los Angeles,Lakers,1610612747,99,126,1610612747,Regular Season,18203,1000052,,,
22401133,4/6/2025 13:00,Charlotte,Hornets,1610612766,Chicago,Bulls,1610612741,117,131,1610612741,Regular Season,18499,9,,,
22401132,4/5/2025 22:30,Los Angeles,Clippers,1610612746,Dallas,Mavericks,1610612742,135,104,1610612746,Regular Season,17927,1000137,,,
22401131,4/5/2025 20:00,Miami,Heat,1610612748,Milwaukee,Bucks,1610612749,115,121,1610612749,Regular Season,19734,1000100,,,
22401129,4/5/2025 19:00,Detroit,Pistons,1610612765,Memphis,Grizzlies,1610612763,103,109,1610612763,Regular Season,20062,624,,,
22401130,4/5/2025 19:00,Philadelphia,76ers,1610612755,Minnesota,Timberwolves,1610612750,109,114,1610612750,Regular Season,19755,419,,,
22401128,4/5/2025 15:00,Atlanta,Hawks,1610612737,New York,Knicks,1610612752,105,121,1610612752,Regular Season,16199,650,,,
22401126,4/4/2025 22:30,Los Angeles,Lakers,1610612747,New Orleans,Pelicans,1610612740,124,108,1610612747,Regular Season,18997,1000069,,,
22401127,4/4/2025 22:30,Los Angeles,Clippers,1610612746,Dallas,Mavericks,1610612742,114,91,1610612746,Regular Season,17927,1000137,,,
22401125,4/4/2025 22:00,Golden State,Warriors,1610612744,Denver,Nuggets,1610612743,118,104,1610612744,Regular Season,18064,1000011,,,
22401122,4/4/2025 20:00,Chicago,Bulls,1610612741,Portland,Trail Blazers,1610612757,118,113,1610612741,Regular Season,21572,66,,,
22401123,4/4/2025 20:00,Houston,Rockets,1610612745,Oklahoma City,Thunder,1610612760,125,111,1610612745,Regular Season,18055,215,,,
22401124,4/4/2025 20:00,San Antonio,Spurs,1610612759,Cleveland,Cavaliers,1610612739,113,114,1610612739,Regular Season,17819,1000118,,,
22401120,4/4/2025 19:30,Boston,Celtics,1610612738,Phoenix,Suns,1610612756,123,103,1610612738,Regular Season,19156,17,,,
22401121,4/4/2025 19:30,Toronto,Raptors,1610612761,Detroit,Pistons,1610612765,105,117,1610612765,Regular Season,19491,643,,,
22401118,4/4/2025 19:00,Charlotte,Hornets,1610612766,Sacramento,Kings,1610612758,102,125,1610612758,Regular Season,15896,9,,,
22401119,4/4/2025 19:00,Indiana,Pacers,1610612754,Utah,Jazz,1610612762,140,112,1610612754,Regular Season,17274,1000063,,,
22401117,4/3/2025 22:00,Los Angeles,Lakers,1610612747,Golden State,Warriors,1610612744,116,123,1610612744,Regular Season,18997,1000069,,,
22401113,4/3/2025 19:30,Brooklyn,Nets,1610612751,Minnesota,Timberwolves,1610612750,90,105,1610612750,Regular Season,17926,461,,,
22401114,4/3/2025 19:30,Miami,Heat,1610612748,Memphis,Grizzlies,1610612763,108,110,1610612763,Regular Season,19700,1000100,,,
22401116,4/3/2025 19:30,Toronto,Raptors,1610612761,Portland,Trail Blazers,1610612757,103,112,1610612757,Regular Season,18548,643,,,
22401112,4/3/2025 19:00,Washington,Wizards,1610612764,Orlando,Magic,1610612753,97,109,1610612753,Regular Season,15998,77,,,
22401115,4/3/2025 19:00,Philadelphia,76ers,1610612755,Milwaukee,Bucks,1610612749,113,126,1610612749,Regular Season,19763,419,,,
22401111,4/2/2025 22:30,Los Angeles,Clippers,1610612746,New Orleans,Pelicans,1610612740,114,98,1610612746,Regular Season,17109,1000137,,,
22401108,4/2/2025 21:30,Oklahoma City,Thunder,1610612760,Detroit,Pistons,1610612765,119,103,1610612760,Regular Season,18203,1000052,,,
22401110,4/2/2025 21:00,Denver,Nuggets,1610612743,San Antonio,Spurs,1610612759,106,113,1610612759,Regular Season,19524,1000046,,,
22401109,4/2/2025 20:30,Dallas,Mavericks,1610612742,Atlanta,Hawks,1610612737,120,118,1610612742,Regular Season,19977,193,,,
